"","EMT","Hypoxia","IFN"
"Sample_1",0.489109690999612,0.407355059171095,0.412108101416379
"Sample_2",0.118573200656101,0.911254750331864,0.570994719164446
"Sample_3",0.531417844817042,0.404752584639937,0.138830348849297
"Sample_4",0.91143672936596,0.538459939882159,0.706796714337543
"Sample_5",0.675290567567572,0.277611813507974,0.190022466005757
"Sample_6",0.595534198451787,0.300376878352836,0.660968590527773
"Sample_7",0.699254936538637,0.679114922182634,0.240897557232529
"Sample_8",0.849970956798643,0.46335949935019,0.170841106912121
"Sample_9",0.601852076593786,0.378562656929716,0.622661266708747
"Sample_10",0.783044936601073,0.929150027222931,0.873818221734837
